iteration_num,svm,decision_trees,neural_net,,,,,,,,
438,0.2142857143,0.15,0.1428571429,,,,,,,,
439,0.4117647059,0.35,0.2978723404,,,,,,,,
440,0.2666666667,0.3666666667,0.3666666667,,,,,,,,
441,0.2666666667,0.3,0.2926829268,,,,,,,,
442,0.3255813953,0.3823529412,0.358974359,,,,,,,,
443,0.5384615385,0.5263157895,0.4444444444,,,,,,,,
444,0.0714285714,0.243902439,0.243902439,,,,,,,,
445,0.4,0.2264150943,0.2592592593,,,,,,,,
446,0.4444444444,0.3243243243,0.3243243243,,,,,,,,
447,0.25,0.350877193,0.3389830508,,,,,,,,
448,0.3846153846,0.303030303,0.303030303,,,,,,,,
449,0.25,0.1860465116,0.2173913043,,,,,,,,
450,0.4347826087,0.3870967742,0.4242424242,,,,,,,,
451,0.1739130435,0.2941176471,0.2941176471,,,,,,,,
452,0.125,0.1333333333,0.1333333333,,,,,,,,
453,0.3076923077,0.2424242424,0.2424242424,,,,,,,,
454,0.4827586207,0.2857142857,0.2857142857,,,,,,,,
455,0.2857142857,0.3404255319,0.3137254902,,,,,,,,
456,0.4761904762,0.3333333333,0.3333333333,,,,,,,,
457,0.1481481481,0.1276595745,0.1276595745,,,,,,,,
458,0.275862069,0.1904761905,0.2173913043,,,,,,,,
459,0.1290322581,0.2352941176,0.2352941176,,,,,,,,
460,0.3333333333,0.1860465116,0.2222222222,,,,,,,,
461,0.3076923077,0.2608695652,0.2608695652,,,,,,,,
462,0.1111111111,0.406779661,0.406779661,,,,,,,,
463,0.3703703704,0.25,0.25,,,,,,,,
464,0.3333333333,0.3,0.3,,,,,,,,
465,0.125,0.1818181818,0.1818181818,,,,,,,,
466,0.4848484848,0.3461538462,0.3396226415,,,,,,,,
467,0.1818181818,0.1463414634,0.1777777778,,,,,,,,
468,0.3125,0.2790697674,0.347826087,,,,,,,,
